Labels,R3B_film 1_exc_em630,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,620.00,
Step,1.00,
Fixed/Offset,630.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,66.950,
Scan Polariser,None,
Scan Slit,2.9999809,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.4999860,
Detector,Det 1,

300.00,6.48342090E+3,
301.00,6.00977100E+3,
302.00,6.04147998E+3,
303.00,5.53816797E+3,
304.00,5.53256396E+3,
305.00,5.05644971E+3,
306.00,4.74652539E+3,
307.00,4.77162695E+3,
308.00,4.54326953E+3,
309.00,4.46326563E+3,
310.00,4.04229883E+3,
311.00,4.01057568E+3,
312.00,3.93569751E+3,
313.00,3.63866040E+3,
314.00,3.52577490E+3,
315.00,3.64967944E+3,
316.00,3.23055493E+3,
317.00,3.45698193E+3,
318.00,2.93953516E+3,
319.00,2.84725122E+3,
320.00,2.84316406E+3,
321.00,2.57410889E+3,
322.00,2.48860596E+3,
323.00,2.39021582E+3,
324.00,2.30259766E+3,
325.00,2.20361255E+3,
326.00,2.23723120E+3,
327.00,2.12831323E+3,
328.00,1.95976770E+3,
329.00,1.84542810E+3,
330.00,1.86761816E+3,
331.00,1.82586145E+3,
332.00,1.70559644E+3,
333.00,1.70177246E+3,
334.00,1.60285425E+3,
335.00,1.53666492E+3,
336.00,1.40641150E+3,
337.00,1.42704883E+3,
338.00,1.40976379E+3,
339.00,1.40697583E+3,
340.00,1.30091956E+3,
341.00,1.36171826E+3,
342.00,1.29398120E+3,
343.00,1.29432727E+3,
344.00,1.24824487E+3,
345.00,1.24594116E+3,
346.00,1.29042468E+3,
347.00,1.24547083E+3,
348.00,1.24879822E+3,
349.00,1.32421228E+3,
350.00,1.31689368E+3,
351.00,1.24215137E+3,
352.00,1.29413550E+3,
353.00,1.42055383E+3,
354.00,1.57536719E+3,
355.00,1.51886646E+3,
356.00,1.60272681E+3,
357.00,1.79866919E+3,
358.00,1.98940979E+3,
359.00,2.24909497E+3,
360.00,2.37653662E+3,
361.00,2.26451270E+3,
362.00,2.24640161E+3,
363.00,2.56620483E+3,
364.00,2.70186572E+3,
365.00,2.84468408E+3,
366.00,2.91450391E+3,
367.00,2.84786816E+3,
368.00,2.97948438E+3,
369.00,3.74998242E+3,
370.00,4.31021094E+3,
371.00,4.57048926E+3,
372.00,4.46875879E+3,
373.00,4.03199121E+3,
374.00,4.01898853E+3,
375.00,3.65995068E+3,
376.00,3.53027734E+3,
377.00,3.34554175E+3,
378.00,3.48469287E+3,
379.00,3.37253418E+3,
380.00,3.23770215E+3,
381.00,2.95666577E+3,
382.00,3.24301855E+3,
383.00,3.00616602E+3,
384.00,2.95452246E+3,
385.00,2.83985522E+3,
386.00,3.25012354E+3,
387.00,3.29259766E+3,
388.00,3.55412891E+3,
389.00,3.36043359E+3,
390.00,3.26077002E+3,
391.00,3.23288525E+3,
392.00,3.20511743E+3,
393.00,3.40966479E+3,
394.00,3.31691235E+3,
395.00,3.17137158E+3,
396.00,3.11941602E+3,
397.00,2.85953125E+3,
398.00,2.86779956E+3,
399.00,2.95874609E+3,
400.00,2.87764136E+3,
401.00,2.88898999E+3,
402.00,2.68760205E+3,
403.00,2.86566797E+3,
404.00,2.80765796E+3,
405.00,2.80527173E+3,
406.00,2.85665991E+3,
407.00,2.84306128E+3,
408.00,2.68024658E+3,
409.00,2.66176270E+3,
410.00,2.23891064E+3,
411.00,2.05924561E+3,
412.00,2.09632300E+3,
413.00,2.18317041E+3,
414.00,2.11851758E+3,
415.00,2.11474512E+3,
416.00,2.21951611E+3,
417.00,2.17939087E+3,
418.00,2.06151685E+3,
419.00,2.04715088E+3,
420.00,1.91938647E+3,
421.00,1.91230127E+3,
422.00,1.89139136E+3,
423.00,1.96976404E+3,
424.00,1.91549927E+3,
425.00,1.84604614E+3,
426.00,1.88097058E+3,
427.00,1.74468823E+3,
428.00,1.64621460E+3,
429.00,1.66723584E+3,
430.00,1.58595923E+3,
431.00,1.61841455E+3,
432.00,1.65298315E+3,
433.00,1.67547144E+3,
434.00,1.68772827E+3,
435.00,1.75028210E+3,
436.00,1.62479028E+3,
437.00,1.78786157E+3,
438.00,1.62430200E+3,
439.00,1.52869482E+3,
440.00,1.50221484E+3,
441.00,1.49830444E+3,
442.00,1.36191199E+3,
443.00,1.55764001E+3,
444.00,1.36963794E+3,
445.00,1.31671582E+3,
446.00,1.38160291E+3,
447.00,1.32210522E+3,
448.00,1.40481470E+3,
449.00,1.32029932E+3,
450.00,1.32107104E+3,
451.00,1.27498950E+3,
452.00,1.18198560E+3,
453.00,1.15393506E+3,
454.00,1.06223291E+3,
455.00,1.07055872E+3,
456.00,1.09962305E+3,
457.00,1.06436426E+3,
458.00,1.10694165E+3,
459.00,1.11097986E+3,
460.00,9.75579468E+2,
461.00,1.01593872E+3,
462.00,9.72124268E+2,
463.00,9.56545288E+2,
464.00,9.52976624E+2,
465.00,9.82192932E+2,
466.00,1.01886230E+3,
467.00,9.85994873E+2,
468.00,1.07452112E+3,
469.00,1.02591748E+3,
470.00,9.60818542E+2,
471.00,9.74993896E+2,
472.00,1.08723926E+3,
473.00,1.12839954E+3,
474.00,1.03788708E+3,
475.00,1.08326245E+3,
476.00,1.07294836E+3,
477.00,1.14208630E+3,
478.00,1.19471875E+3,
479.00,1.24837683E+3,
480.00,1.24369885E+3,
481.00,1.21850415E+3,
482.00,1.38431177E+3,
483.00,1.45668506E+3,
484.00,1.47372876E+3,
485.00,1.48112244E+3,
486.00,1.46908374E+3,
487.00,1.41155640E+3,
488.00,1.50308936E+3,
489.00,1.47982361E+3,
490.00,1.57495398E+3,
491.00,1.59772437E+3,
492.00,1.70430176E+3,
493.00,1.80994727E+3,
494.00,1.80172168E+3,
495.00,1.91671558E+3,
496.00,2.08630957E+3,
497.00,2.02097852E+3,
498.00,2.20642969E+3,
499.00,2.13635229E+3,
500.00,2.22298779E+3,
501.00,2.23043359E+3,
502.00,2.40836670E+3,
503.00,2.51270190E+3,
